videoId,title,channelTitle,category,viewCount,commentCount,hawkes_R,tbi,eng_quality,saturation,robust_trend_score
v1,"Amazing L'Oréal Paris Foundation Review","James Charles","Howto & Style",1500000,45000,1.45,0.82,0.78,0.23,0.92
v2,"Viral Skincare Routine 2025","Nikkie Tutorials","Howto & Style",2300000,120000,1.67,0.91,0.85,0.45,0.88
v3,"Maybelline Mascara Tutorial","Tati Westbrook","Howto & Style",850000,22000,0.95,0.45,0.65,0.15,0.72
v4,"Breaking: New Lancôme Launch!","Jackie Aina","Howto & Style",3200000,210000,1.82,0.95,0.91,0.62,0.85
v5,"Perfect Haircare Routine","Bretman Rock","Howto & Style",1900000,89000,1.33,0.67,0.72,0.38,0.76
v6,"DIY Home Decor Ideas","CraftyLife","Howto & Style",650000,18000,0.82,0.33,0.58,0.12,0.64
v7,"New iPhone 17 Review","TechReview","Science & Technology",2800000,150000,1.58,0.78,0.82,0.51,0.81
v8,"Garnier Hair Mask Tutorial","Huda Beauty","Howto & Style",4100000,310000,1.91,0.98,0.89,0.71,0.83
v9,"Learn Guitar in 10 Minutes","MusicLessons","Music",920000,35000,1.05,0.52,0.67,0.22,0.69
v10,"Best Makeup Products 2025","Manny MUA","Howto & Style",1300000,52000,1.21,0.61,0.74,0.29,0.75
v11,"Robotics Workshop for Kids","FutureKids","Education",420000,12000,0.71,0.28,0.54,0.09,0.58
v12,"YSL Lipstick Collection Review","Laura Lee","Howto & Style",2100000,98000,1.41,0.71,0.79,0.41,0.78
v13,"Healthy Breakfast Recipes","FitFoodie","Howto & Style",760000,28000,0.89,0.41,0.63,0.18,0.66
v14,"AI Explained Simply","AI Simplified","Science & Technology",1100000,65000,1.15,0.58,0.71,0.26,0.73
v15,"Urban Decay Eyeshadow Tutorial","Desi Perkins","Howto & Style",3500000,180000,1.74,0.89,0.87,0.55,0.86
